chanel,link,date,text
@aviata,https://t.me/aviata/579,2024-01-18 09:46:49,"Солнце, море, пляж: летим отдыхать зимой 🌊

🇪🇬 Туры в Египет
Sharm Inn Amarein 4* от 378 180 ₸
2–14 февраля, вылет из Алматы и обратно, all inclusive

Badawia Resort 4* от 306 022 ₸
2–14 февраля, вылет из Алматы и обратно, all inclusive

🇻🇳 Туры во Вьетнам
Seana Hotel 4* от 444 709 ₸
25 января – 1 февраля, вылет из Астаны и обратно, завтрак

Golden Time Hotel 3* от 443 451 ₸
25 января – 5 февраля, вылет из Алматы и обратно, завтрак

🇹🇭 Туры в Таиланд
Golden Time Hotel 3* от 443 451 ₸
27 января – 5 февраля, вылет из Алматы и обратно, завтрак

Phu View Talay Resort 3* от 631 633 ₸
24 января – 31 января, вылет из Астаны и обратно, завтрак

🇲🇻 Тура на Мальдивы
Araamu Holidays & SPA 3* от 711 638 ₸
31 января – 7 февраля, вылет из Алматы и обратно, завтрак

Reef Edge Thulusdhoo 4* от 776 782 ₸
31 января – 7 февраля, вылет из Алматы и обратно, завтрак"
@aviata,https://t.me/aviata/578,2024-01-16 07:51:02,"INNA приедет с концертами в Казахстан 🎶

Певица выступит в Астане и Алматы 7 и 8 марта. Все подробности рассказали в блоге. 

А пока предлагаем подобрать авиабилеты, чтобы успеть на концерт. Вот самые выгодные перелеты:

В Астану ✈️
Из Актобе — от 9 821 ₸
Из Костаная — от 8 299 ₸
Из Павлодара — от 10 000 ₸
Из Семея — от 10 710 ₸
Из Шымкента — от 11 801 ₸
Из Усть-Каменогорска — от 14 933 ₸

В Алматы ✈️
Из Актобе — от 24 821 ₸
Из Караганды — от 25 158 ₸
Из Семея — от 21 272 ₸
Из Тараза — от 14 000 ₸
Из Усть-Каменогорска — от 20 933 ₸
Из Шымкента — от 11 801 ₸

Подобрать билеты из других городов

Fly like you do it 💃✈️"
@aviata,https://t.me/aviata/577,2024-01-08 10:07:59,New year resolution: с завтрашнего дня никаких больше туристических взносов🙅🏻‍♂️
@aviata,https://t.me/aviata/576,2023-12-25 07:28:42,"Давайте поздравим друг друга! ✨

Благодаря новому проекту Авиаты вы можете оставить поздравление для близких прямо на карте Казахстана! Они появятся на сайте и могут попасть на билборды страны.

Как оставить поздравление?
1. Переходите по ссылке — aviata-newyear.kz
2. Нажимайте на кнопку «Отправить поздравление». Далее нужно вписать ваше имя, город и текст поздравления.
3. После модерации ваша звездочка с поздравлением появится на карте! 💫

Поздравляем всех с наступающим Новым годом!"
@aviata,https://t.me/aviata/575,2023-12-14 11:12:15,"Из холодной зимы в жаркое лето ❄️☀️
С горящими турами от Авиаты!

🇻🇳 Вьетнам
Gosia Hotel, 3* от 280 286 ₸
10 ночей, 21 дек — 31 дек
Перелет из Астаны в Нячанг и обратно

Paris Nha Trang, 4* от 359 796 ₸
6 ночей, 23 дек — 29 дек
Перелет из Алматы в Нячанг и обратно

🇦🇪 ОАЭ
Holiday Inn Dubai Al Maktoum Airport Hotel, 4* от 262 823 ₸
5 ночей, 18 дек — 23 дек
Перелет из Астаны в Дубай и обратно

Ibis Fujairah, 3* от 223 100 ₸
5 ночей, 18 дек — 23 дек
Перелет из Алматы в Дубай и обратно


🔥 Подобрать горящие туры"
@aviata,https://t.me/aviata/574,2023-12-07 10:16:46,"Идеальное время для отдыха в Таиланде — с ноября по март!

🇹🇭Туры в Таиланд с вылетом из Астаны

Maikhao Palm Beach Resort 5* от 471 944 ₸
· 10–16 декабря.
· Северо-западное побережье Пхукета.
· Большая уединенная территория.

Marina Gallery Resort-Kacha-Kalim Bay 5* от 471 207 ₸
· 10–16 декабря.
· 14 км от центра Пхукета.
· Тихий, спокойный отель с инстаграмным интерьером.

Crest Resort & Pool Villas 5* от 553 385 ₸
· 10–16 декабря.
· Отель недалеко от центра Патонга.
· Панорамный вид на Андаманское море.

🇹🇭Туры в Таиланд с вылетом из Алматы

The Zign Hotel 5* от 361 758 ₸
· 11–17 декабря.
· Отель вблизи пляжа Наклуа, Паттайя.
· Тихое место для отдыха, песчаный пляж неподалеку.
 
Baraquda Pattaya by Heeton 5* от 447 306 ₸
· 11–17 декабря.
· Бутик-отель в Паттайе, 1,5 часа езды до Бангкока.
· Отель расположен рядом с популярными достопримечательностями.

Ravindra Beach Resort & SPA 5* от 447 676 ₸
· 11–17 декабря.
· Центральная Паттайя.
· Тихий и спокойный отель, идеальное место для релаксации."
@aviata,https://t.me/aviata/573,2023-12-05 08:56:11,"Лайфхак: как сэкономить на билетах в Европу? 🇪🇺

С 4 по 8 декабря у Turkish Airlines можно приобрести акционные билеты из Стамбула в города Южной Европы.

✈️ Летим в Стамбул:
Алматы — Стамбул от 68 300 ₸
Астана — Стамбул от 62 624 ₸
Шымкент — Стамбул от 67 305 ₸

✈️ А из Стамбула в Южную Европу с Turkish Airlines:
Cтамбул — Барселона от  104 475 ₸
Стамбул — Рим от 73 645 ₸
Стамбул — Париж от 57 080 ₸
Стамбул — Загреб от 98 494 ₸
Стамбул — Страсбург от 52 938 ₸

Акция Turkish Airlines распространяется на путешествия с 10.01.2024 по 31.03.2024."
@aviata,https://t.me/aviata/572,2023-12-01 04:35:00,"Еще у нас есть полезная статья о том, как перевозить лыжи и сноуборд в самолете!"
@aviata,https://t.me/aviata/571,2023-12-01 04:30:00,"Для любителей лыж и сноубордов ❄️🏂⛷

У нас в блоге вышел гид о горнолыжном курорте Гудаури. Информация о-о-чень подробная и интересная: рассказали о курорте, ценах, маршрутах, достопримечательностях и дали советы по путешествию.

Этот гид — рецепт идеального зимнего отдыха в грузинских горах.

⛄️ Прочитать"
@aviata,https://t.me/aviata/570,2023-11-30 08:55:01,"Время горящих туров 🔥

🇦🇪 ОАЭ
Novotel Fujairah 4* от 210 494 ₸
4–10 декабря, вылет из Алматы и обратно, завтрак

Royal M Hotel Fujairah Mall 5* от 262 859 ₸
4–10 декабря, вылет из Астаны и обратно, завтрак

🇹🇭 Таиланд
Twin Palms Resort 3* от 267 480 ₸
4–9 декабря, вылет из Алматы и обратно, завтрак

Beston Pattaya 4* от 297 084 ₸
5–10 декабря, вылет из Алматы и обратно, завтрак

🇪🇬 Египет
Sharm Bride Aqua Hotel Resort & Spa 4* от 266 202 ₸
8–15 декабря, вылет из Алматы и обратно, завтрак и ужин

Tivoli Hotel Aqua Park 4* от 268 035 ₸
5–12 декабря, вылет из Астаны и обратно, завтрак и ужин

🇻🇳 Вьетнам
Smile 3* от 256 766 ₸
5–11 декабря, вылет из Алматы и обратно, завтрак

Imperial Nha Trang 4* от 245 955 ₸
7–14 декабря, вылет из Астаны и обратно, завтрак"
